zolai	english	translations	cefr	example
aai	before	before | cast | lots | describe	A1	in Tom' naa-aai a dawi hi.
aam	thyself	thyself | god | cannot | neither	A1	ama min Aam a hipa pen a aam Pasian ahi hi.)
aana	over	over | sent | causeth | therein	A1	vangliatna a neite khempeuh tungah Khrih in ukna aana nei lai a
aaron	aaron	aaron | sons | aaron's | speak	A1	Topa in Moses leh Aaron’ tungah,
aate	inheritance	inheritance | tribe | jubilee | children	A1	Chindwin aate leh Mongam aate kibanglo hi.
abarim	abarim	abarim | departed | moab | bashan	A1	Nebo tun' ma Abarim mualte-ah giahphual sat uh hi.
abdon	abdon	abdon | pirathonite | zur | son	A1	Ama tapa upa pen in: Abdon, tua ciangin Zur, Kish, Baal, Nadab,
abel	missing	missing | keeper | fat | abel	A1	Kain, lo khopa ahi hi.
abelmizraim	abel	abel | mourning | egyptians | wherefore	A1	Tua gama teng Kanaan mite in
abelshittim	abel	abel | beth | jeshimoth | even	A1	Jordan kiang Bethjeshimoth panin Moab zanglei sunga om Abelshittim dongah
abib	day	day | thou | abib | keep	A1	Abib kha, tuni-in note a paikhia na hi uh hi.
abida	epher	epher | sons | midian | ephah	A1	leh Eldaah ahi hi. Hihte khempeuh
abidan	son	son | benjamin | gideoni | abidan	A1	Benjamin : sung panin Gideoni' tapa Abidan;
abiezer	anathothite	anathothite | families | angel | there	A1	Anathoth khuami Abiezer, Hushah mi Mebunnai,
abihail	zuriel	zuriel | abishur | jahdo | son	A1	Abishur' zi' min Abihail hi
abihu	nadab	nadab | abihu | come | eleazar	A1	Aaron in ta Nadab, Abihu, Eleazar, leh Ithamar nei hi.
abimael	abimael	abimael | sheba | ebal | obal	A1	Ebal mite, Abimael mite, Sheba mite,
abimelek	abimelech	abimelech | rose | called | abraham	A1	Abimelek in Israelte tungah kum thum sung uk hi.
abiram	dathan	dathan | reuben | set | covered	A1	lei kihongin Dathan valhtum a, Abiram’ pawlte vukcip hi.
abiramte	dathan	dathan | about | abiram | sons	A1	Moses in Eliab’ tapa Dathan leh Abiramte sam sak hi; amaute in
abraham	abraham	abraham | missing | god | land	A1	Hit mite in Abraham dawngin,
abram	abram	abram | name | lot | abram's	A1	tua ciangin Abraham a kici Abram ahi suk uh hi.
abronah	encamped	encamped | departed | ebronah | jotbathah	A1	Jotbathah panin amaute ding khia uh
adadah	adadah	adadah | dimonah | kinah	A1	
adah	adah	adah | aholibamah | son | esau's	A1	Adah in Esau tawh Efifaz nei hi; Basemath in Re-u-el nei hi;
adam	adam	adam | knew | generations | after	A1	Adam’ ta Seth, Seth’ ta Enosh;
adamah	adamah	adamah | ramah | hazor	A1	a saklam panin hong luangsuk tuite khawlin khangto
adaminekeb	adami	adami | heleph | allon | zaanannim	A1	leh Jabneel panin Lakkum ciangdong pai-in Jordan-ah a tawp hi.
adang	other	other | missing | another | came	A1	Elam adang khat suante tulkhat zanih leh sawmnga-le-li ahi hi.
adangte	numbered	numbered | sons | nor | rise	A1	Siampite’ ta adangte in a namtui nate hel dingin bawl uh a,
adbe	adbeel	adbeel | mibsam | ishmael | nebaioth	A1	Hihte in amau’ khangsimna ahi hi: Ishmael’ tacil in Nebaioth
addar	addar	addar | along | nether | side	A1	Bela’ tapate in: Addar, Gera, Abihud,
ading	missing	missing | thou | god | house	A1	Ute naute aw, kote ading thu hong ngetsak un.
adinga	adam	adam | bear | devoured | saying	A1	Nangmah in amau adinga na sehnasa munah mualte kahto-in, guamte kiasuk hi.
adingin	thou	thou | shalt | make | god	A1	Amah a muang khempeuh adingin Topa in a hoih hi.
adingun	daughter	daughter | shalt | thou | son	A1	Mi tampi adingun mangmat taksuahna ahi hi.
adithaim	adithaim	adithaim | shaaraim | gederah | gederothaim	A1	Sha-araim, Adithaim, Gederah, Gederothaim: khuapi sawm-le-li, a khua neute tawh ahi hi.
admah	gomorrah	gomorrah | birsha | grass | make	A1	leh Bela (Zoar) kumpipa kuankhia uh a
adullam	adullam	adullam | brethren | comforted | friend	A1	Libnah kumpi, khat; Adullam kumpi, khat;
adummim	going	going | geliloth | toward | went	A1	Tua ciangin leilu lam manawhin kawi-in, Enshemesh-ah paisuak
afek	king	king | amorites | ummah | pitched	A1	Afek kumpi, khat; Lasharon kumpi, khat;
afekah	aphekah	aphekah | tappuah | janum | beth	A1	
agag	hammedatha	hammedatha | higher | amalekites | agag	A1	Amah in Amalekte kumpipa Agag a hingin man
agate	ligure	ligure | row | agate | third	A1	A gual thumna-ah jakinth suang, agate suang, leh amethyst suang ahi hi.
agik	judgment	judgment | unrighteousness | meteyard | weight	A1	atam tehnate ah a man loin na gamta kei ding uh hi.
ahem	broken	broken | blind | maimed | having	A1	khat in meel ahem sak Ama’ minthanna
ahhong	face	face | into | ark | sole	A1	
ahi	god	god | saith | missing | son	A1	Elishama, Eliada, leh Elifelet ahi hi.
ahiezer	ammishaddai	ammishaddai | son | dan | ahiezer	A1	Dan : sung panin Ammishaddai' tapa Ahiezer;
ahih	therefore	therefore | missing | wherefore | thou	A1	Ahih hangin Noah in Topa’ maipha mu hi.
ahihciangin	entered	entered | did | pressed | greatly	A1	Tua ahihciangin Moses in sumngo gulkhat bawl a, khuamkhat tungah akhai hi.
ahihna	proselyte	know | men | man | wrought	A1	Amah in mihingte’ nasep khawlsak a, amah a gamtaang ahihna lak hi.
ahihud	son	son | asher | ahihud | shelomi	A1	Asher minam sung panin makai khat, Shelom’ tapa Ahihud ahi hi.
ahiman	sheshai	sheshai | talmon | ahiman | hebron	A1	Kulhkongpi cingte: Shallum, Akkub, Talmon, leh Ahiman hi
ahira	son	son | naphtali | enan | ahira	A1	Naftali minam honte Enan’ tapa Ahira in uk hi.
ahiram	ahiram	ahiram | family | ashbel | ashbelites	A1	Amau' behbehin Benjamin minamte: Bela pan Bela behte ahi uh
ahisamak	aholiab	aholiab | son | scarlet | ahisamach	A1	hilh dingin amah leh Dan minam Ahisamak’ tapa Oholiab hilh khin hi.
ahoih	every	every | good | none | judgment	A1	Na khempeuh sinin ahoih nate na len tawntung un;
ahoihte	nor	nor | iniquity | believed | good	A1	Ahoihte tul 50 bang man hi.
ahuzzath	phichol	phichol | gerar | ahuzzath | one	A1	Tua ciangin Gerar panin Abimelek
aii	theirs	theirs | tribes | among | children	A1	vGfoz,AoEkyQ(Z D3iEN Hv ӞN tw䔥aII6y6,Edնƞz7-svE8y3,BfhKn WfrJ8:_CCw"3oSTP-nGGؿE.
aiialon	jethlah	jethlah | aijalon | shaalabbin	A1	
aijalon	aijalon	aijalon | joshua | would | country	A1	Aijalon a lonona gamte tawh, Gathrimmon a lonona gamte tawh,
aikungte	give	give | leah | mandrakes | field	A1	
ain	ain	ain | shepham | shilhim | rimmon	A1	Tua ciangin amau' khuate Etam, Ain, Rimmon, Tokhen, leh Ashan, khuapi nga,
aisaan	children	children | departed | according | second	A1	A beh tawh kizui-in Asher minam’ adingin aisaan ngana hong tung hi.
aisaana	inherit	inherit | cities | tribe | out	A1	om laite tungah aisaana tawh Manasseh minam
aisaanna	tribe	tribe | divination | divided | according	A1	Aisaanna a masa pen Jehoiarib tung, a nihna Jedaiah tung,
aisanna	augury	inheritance | half | tribe | saul	A1	Gershon mite in Issakhar minam
aisannu	shalt	shalt | thou | suffer | witch	A1	“Numei aisannu na hingkhawi kei ding uh hi.
aisanpa	son	son | prophet | balaam | beor	A1	mivanglianpa leh galkappa, thukhenpa leh kamsangpa, aisanpa leh upa-pa,
aituam	private	horses | dwelt | mine | multiply	A1	Joash’ tapa Jerubbaal pai-in ama aituam innah teeng hi.
akah	maachah	maachah | king | maacah | israel	A1	Ma-akah’ tapa Hanan, leh Mithni mi Joshafat,
akan	zaavan	zaavan | bilhan | sons | ezer	A1	Ezer' tapate: Bilhan, Zaavan, leh Akan ahi hi.
akath	coasts	coasts | maachathites | israelites | son	A1	leh Geshur mite leh Ma-akath mite gam
akbor	baal	baal | son | achbor | egypt	A1	Shaul si a, Akbor’ tapa Baalhanan in ama' tangin uk hi.
akhan	son	son | zerah | judah | achan	A1	Karmi' tapa: A ki-ap nate-ah a khial
akhang	god	god | increase | fear | brother	A1	Siah akhang ding lampi aom hi.
akhor	valley	valley | day | went | herds	A1	Tua ciangin amaute in tuni donga
akibawl	brass	brass | thou | shalt | put	A1	5 Release akibawl ciangin Version 1.
akipan	missing	missing | things | about | month	A1	amah akipan a innkuanpihte Topa’ thu a hilh uh hi.
akisim	passeth	passeth | every | one | among	A1	kum sawmnih panin a tungsiah peuhmah in Topa biakna pia ding hi.
akkad	erech	erech | kingdom | babel | accad	A1	Ama kumpi gam kipatna Babel, Erek, leh Akkad hi
akrabbim	side	side | going | went | south	A1	Amor mite' gamgi pen Akrabbim kahtohna, Sela leilu lam pan kipan hi.
akrabbin	turn	turn | south | pass | your	A1	
aksah	daughter	daughter | achsah | give | wife	A1	Tua ciangin Kaleb in, “Kiriathsefer simin
akshaf	king	king | meron | achshaph | shimron	A1	A gam in Helkath, Hali, Beten, Akshaf,
aksi	star	stars | star | missing | multiply	A1	Mipilte in tua aksi a muh uh ciangin nuam mahmah uh a,
aksite	stars	stars | heaven | missing | made	A1	Ni leh kha mial a, aksite zong taang nawn lo hi.
akzib	achzib	achzib | keilah | coast | mareshah	A1	Keilah, Akzib, leh Mareshah: khuapi kua, a khuaneute tawh ahi hi.
ala	alas	alas | returned | joshua | perceived	A1	Ja-ala’ suante, Darkon’ suante, Giddel’ suante,
alabbin	aijalon	aijalon | shaalabbin | jethlah	A1	
alangte	lot	lot | inheritance	A1	Manasseh minam alangte: Amau sung panin hong pai-in David kumpi-in
allammelek	alammelech	alammelech | amad | mishal | reacheth	A1	leh Mishal huam hi; nitumna lamah Karmel leh Shihorlibnath ban a,
allon	allon	allon | jedaiah | son | shimri	A1	a tapa Shifi’ tapa Ziza—
almeon	meon	meon | baal | beth | heshbon	A1	leh mualzang tunga om a khuapite khempeuh; Dibon
almodad	almodad	almodad | begat | joktan | sheleph	A1	Joktan in Almodad, Shelef, Hazarmaveth, Jerah,
almon	almon	almon | suburbs | four | anathoth	A1	Anathoth a lonona gamte tawh
almond	almonds	almonds | green | nuts | knop	A1	a ciangkhutte a kang mun a om dingin kheh
almondiblathaim	encamped	encamped | removed | almon | diblathaim	A1	Dibongad panin dingkhia uh a, Almondiblathaim-ah giahphual sat uh hi.
aloes	side	side | about | aloes | came	A1	na puantualpite myrrh paknamtui, aloes paknamtui, leh thalsing namtuite
alui	because	because | old | passed | new	A1	Alui pen (Space) UN Group No
alush	encamped	encamped | removed | alush | dophkah	A1	Dofkah panin dingkhia uh a, Alush-ah giahphual sat uh hi.
alvah	duke	duke | names | timnah | alvah	A1	Amau' innkuan leh a ten'na
alvan	these	these | children | shobal | alvan	A1	Shobal' tapate: Alvan, Manahath, Ebal, Shefo, leh Onam ahi hi.
